"Country or Area","Year(s)","Variant","Value"
"American Samoa","2020","Zero migration","55.191"
"American Samoa","2020","Constant mortality","55.191"
"American Samoa","2020","No change","55.191"
"American Samoa","2020","Momentum","55.191"
"Andorra","2021","Medium","77.355"
"Andorra","2021","High","77.5"
"Andorra","2021","Low","77.334"
"Andorra","2021","Constant fertility","77.431"
"Andorra","2021","Instant replacement","77.623"
"Andorra","2021","Zero migration","77.212"
"Andorra","2021","Constant mortality","77.399"
"Andorra","2021","No change","77.411"
"Andorra","2021","Momentum","77.466"
"Andorra","2020","Medium","77.265"
"Andorra","2020","High","77.265"
"Andorra","2020","Low","77.265"
"Andorra","2020","Constant fertility","77.265"
"Andorra","2020","Instant replacement","77.265"
"Andorra","2020","Zero migration","77.265"
"Andorra","2020","Constant mortality","77.265"
"Andorra","2020","No change","77.265"
"Andorra","2020","Momentum","77.265"
"Angola","2021","Medium","33933.61"
"Angola","2021","High","33964.349"
"Angola","2021","Low","33894.381"
"Angola","2021","Constant fertility","33975.026"
"Angola","2021","Instant replacement","33455.853"
"Angola","2021","Zero migration","33928.903"
"Angola","2021","Constant mortality","33913.433"
"Angola","2021","No change","33959.132"
"Angola","2021","Momentum","33449.562"
"Angola","2020","Medium","32866.272"
"Angola","2020","High","32866.272"
"Angola","2020","Low","32866.272"
"Angola","2020","Constant fertility","32866.272"
"Angola","2020","Instant replacement","32866.272"
"Angola","2020","Zero migration","32866.272"
"Angola","2020","Constant mortality","32866.272"
"Angola","2020","No change","32866.272"
"Angola","2020","Momentum","32866.272"
"Anguilla","2021","Medium","15.117"
"Anguilla","2021","High","15.132"
"Anguilla","2021","Low","15.096"
"Anguilla","2021","Constant fertility","15.119"
"Anguilla","2021","Instant replacement","15.141"
"Anguilla","2021","Zero migration","15.114"
"Anguilla","2021","Constant mortality","15.106"
"Anguilla","2021","No change","15.111"
"Anguilla","2021","Momentum","15.139"
"Anguilla","2020","Medium","15.003"
"Anguilla","2020","High","15.003"
"Anguilla","2020","Low","15.003"
"Anguilla","2020","Constant fertility","15.003"
"Anguilla","2020","Instant replacement","15.003"
"Anguilla","2020","Zero migration","15.003"
"Anguilla","2020","Constant mortality","15.003"
"Anguilla","2020","No change","15.003"
"Anguilla","2020","Momentum","15.003"
"Antigua and Barbuda","2021","Medium","98.731"
"Antigua and Barbuda","2021","High","98.852"
"Antigua and Barbuda","2021","Low","98.617"
"Antigua and Barbuda","2021","Constant fertility","98.759"
"Antigua and Barbuda","2021","Instant replacement","98.775"
"Antigua and Barbuda","2021","Zero migration","98.736"
"Antigua and Barbuda","2021","Constant mortality","98.715"
"Antigua and Barbuda","2021","No change","98.737"
"Antigua and Barbuda","2021","Momentum","98.76"
"Antigua and Barbuda","2020","Medium","97.929"
"Antigua and Barbuda","2020","High","97.929"
"Antigua and Barbuda","2020","Low","97.929"
"Antigua and Barbuda","2020","Constant fertility","97.929"
"Antigua and Barbuda","2020","Instant replacement","97.929"
"Antigua and Barbuda","2020","Zero migration","97.929"
"Antigua and Barbuda","2020","Constant mortality","97.929"
"Antigua and Barbuda","2020","No change","97.929"
"Antigua and Barbuda","2020","Momentum","97.929"
"Argentina","2021","Medium","45605.826"
"Argentina","2021","High","45657.86"
"Argentina","2021","Low","45550.049"
"Argentina","2021","Constant fertility","45618.792"
"Argentina","2021","Instant replacement","45576.719"
"Argentina","2021","Zero migration","45600.091"
"Argentina","2021","Constant mortality","45593.722"
"Argentina","2021","No change","45608.333"
"Argentina","2021","Momentum","45565.514"
"Argentina","2020","Medium","45195.774"
"Argentina","2020","High","45195.774"
"Argentina","2020","Low","45195.774"
"Argentina","2020","Constant fertility","45195.774"
"Argentina","2020","Instant replacement","45195.774"
"Argentina","2020","Zero migration","45195.774"
"Argentina","2020","Constant mortality","45195.774"
"Argentina","2020","No change","45195.774"
"Argentina","2020","Momentum","45195.774"
"Armenia","2021","Medium","2968.127"
"Armenia","2021","High","2972.416"
"Armenia","2021","Low","2964.565"
"Armenia","2021","Constant fertility","2968.466"
"Armenia","2021","Instant replacement","2973.251"
"Armenia","2021","Zero migration","2973.562"
"Armenia","2021","Constant mortality","2967.679"
"Armenia","2021","No change","2967.646"
"Armenia","2021","Momentum","2976.043"
"Armenia","2020","Medium","2963.243"
"Armenia","2020","High","2963.243"
"Armenia","2020","Low","2963.243"
"Armenia","2020","Constant fertility","2963.243"
"Armenia","2020","Instant replacement","2963.243"
"Armenia","2020","Zero migration","2963.243"
"Armenia","2020","Constant mortality","2963.243"
"Armenia","2020","No change","2963.243"
"Armenia","2020","Momentum","2963.243"
"Aruba","2021","Medium","107.204"
"Aruba","2021","High","107.283"
"Aruba","2021","Low","107.077"
"Aruba","2021","Constant fertility","107.185"
"Aruba","2021","Instant replacement","107.289"
"Aruba","2021","Zero migration","107.008"
"Aruba","2021","Constant mortality","107.146"
"Aruba","2021","No change","107.15"
"Aruba","2021","Momentum","107.15"
"Aruba","2020","Medium","106.766"
"Aruba","2020","High","106.766"
"Aruba","2020","Low","106.766"
"Aruba","2020","Constant fertility","106.766"
"Aruba","2020","Instant replacement","106.766"
"Aruba","2020","Zero migration","106.766"
"Aruba","2020","Constant mortality","106.766"
"Aruba","2020","No change","106.766"
"Aruba","2020","Momentum","106.766"
"Asia","2021","Medium","4679660.608"
"Asia","2021","High","4685243.017"
"Asia","2021","Low","4674250.922"
"Asia","2021","Constant fertility","4681524.285"
"Asia","2021","Instant replacement","4681339.876"
"Asia","2021","Zero migration","4680968.536"
"Asia","2021","Constant mortality","4678532.199"
"Asia","2021","No change","4680278.8"
"Asia","2021","Momentum","4681379.228"
"Asia","2020","Medium","4641054.775"
"Asia","2020","High","4641054.775"
"Asia","2020","Low","4641054.775"
"Asia","2020","Constant fertility","4641054.775"
"Asia","2020","Instant replacement","4641054.775"
"Asia","2020","Zero migration","4641054.775"
"Asia","2020","Constant mortality","4641054.775"
"Asia","2020","No change","4641054.775"
"Asia","2020","Momentum","4641054.775"
"Australia","2021","Medium","25788.215"
"Australia","2021","High","25811.346"
"Australia","2021","Low","25752.81"
"Australia","2021","Constant fertility","25788.374"
"Australia","2021","Instant replacement","25821.023"
"Australia","2021","Zero migration","25647.003"
"Australia","2021","Constant mortality","25774.809"
"Australia","2021","No change","25781.04"
"Australia","2021","Momentum","25723.119"
"Australia","2020","Medium","25499.884"
"Australia","2020","High","25499.884"
"Australia","2020","Low","25499.884"
"Australia","2020","Constant fertility","25499.884"
"Australia","2020","Instant replacement","25499.884"
"Australia","2020","Zero migration","25499.884"
"Australia","2020","Constant mortality","25499.884"
"Australia","2020","No change","25499.884"
"Australia","2020","Momentum","25499.884"
"Australia/New Zealand","2021","Medium","30648.858"
"Australia/New Zealand","2021","High","30676.522"
"Australia/New Zealand","2021","Low","30607.639"
"Australia/New Zealand","2021","Constant fertility","30649.515"
"Australia/New Zealand","2021","Instant replacement","30686.335"
"Australia/New Zealand","2021","Zero migration","30494.438"
"Australia/New Zealand","2021","Constant mortality","30633.634"
"Australia/New Zealand","2021","No change","30640.986"
"Australia/New Zealand","2021","Momentum","30578.808"
"Australia/New Zealand","2020","Medium","30322.117"
"Australia/New Zealand","2020","High","30322.117"
"Australia/New Zealand","2020","Low","30322.117"
"Australia/New Zealand","2020","Constant fertility","30322.117"
"Australia/New Zealand","2020","Instant replacement","30322.117"
"Australia/New Zealand","2020","Zero migration","30322.117"
"Australia/New Zealand","2020","Constant mortality","30322.117"
"Australia/New Zealand","2020","No change","30322.117"
"Australia/New Zealand","2020","Momentum","30322.117"
"Austria","2021","Medium","9043.07"
"Austria","2021","High","9037.011"
"Austria","2021","Low","9017.879"
"Austria","2021","Constant fertility","9025.894"
"Austria","2021","Instant replacement","9062.126"
"Austria","2021","Zero migration","9007.263"
"Austria","2021","Constant mortality","9025.268"
"Austria","2021","No change","9023.701"
"Austria","2021","Momentum","9045.91"
"Austria","2020","Medium","9006.398"
"Austria","2020","High","9006.398"
"Austria","2020","Low","9006.398"
"Austria","2020","Constant fertility","9006.398"
"Austria","2020","Instant replacement","9006.398"
"Austria","2020","Zero migration","9006.398"
"Austria","2020","Constant mortality","9006.398"
"Austria","2020","No change","9006.398"
"Austria","2020","Momentum","9006.398"
"Azerbaijan","2021","Medium","10223.342"
"Azerbaijan","2021","High","10236.094"
"Azerbaijan","2021","Low","10209.968"
"Azerbaijan","2021","Constant fertility","10227.663"
"Azerbaijan","2021","Instant replacement","10231.418"
"Azerbaijan","2021","Zero migration","10223.127"
"Azerbaijan","2021","Constant mortality","10221.563"
"Azerbaijan","2021","No change","10226.1"
"Azerbaijan","2021","Momentum","10230.445"
"Azerbaijan","2020","Medium","10139.177"
"Azerbaijan","2020","High","10139.177"
"Azerbaijan","2020","Low","10139.177"
"Azerbaijan","2020","Constant fertility","10139.177"
"Azerbaijan","2020","Instant replacement","10139.177"
"Azerbaijan","2020","Zero migration","10139.177"
"Azerbaijan","2020","Constant mortality","10139.177"
"Azerbaijan","2020","No change","10139.177"
"Azerbaijan","2020","Momentum","10139.177"
"Bahamas","2021","Medium","396.913"
"Bahamas","2021","High","397.361"
"Bahamas","2021","Low","396.384"
"Bahamas","2021","Constant fertility","396.977"
"Bahamas","2021","Instant replacement","397.726"
"Bahamas","2021","Zero migration","395.858"
"Bahamas","2021","Constant mortality","396.806"
"Bahamas","2021","No change","396.914"
"Bahamas","2021","Momentum","396.985"
"Bahamas","2020","Medium","393.244"
"Bahamas","2020","High","393.244"
"Bahamas","2020","Low","393.244"
"Bahamas","2020","Constant fertility","393.244"
"Bahamas","2020","Instant replacement","393.244"
"Bahamas","2020","Zero migration","393.244"
"Bahamas","2020","Constant mortality","393.244"
"Bahamas","2020","No change","393.244"
"Bahamas","2020","Momentum","393.244"
"Bahrain","2021","Medium","1748.296"
"Bahrain","2021","High","1735.921"
"Bahrain","2021","Low","1732.4"
"Bahrain","2021","Constant fertility","1734.884"
"Bahrain","2021","Instant replacement","1749.476"
"Bahrain","2021","Zero migration","1719.865"
"Bahrain","2021","Constant mortality","1734.004"
"Bahrain","2021","No change","1734.708"
"Bahrain","2021","Momentum","1738.863"
"Bahrain","2020","Medium","1701.575"
"Bahrain","2020","High","1701.575"
"Bahrain","2020","Low","1701.575"
"Bahrain","2020","Constant fertility","1701.575"
"Bahrain","2020","Instant replacement","1701.575"
"Bahrain","2020","Zero migration","1701.575"
"Bahrain","2020","Constant mortality","1701.575"
"Bahrain","2020","No change","1701.575"
"Bahrain","2020","Momentum","1701.575"
"Bangladesh","2021","Medium","166303.498"
"Bangladesh","2021","High","166539.074"
"Bangladesh","2021","Low","166081.324"
"Bangladesh","2021","Constant fertility","166410.255"
"Bangladesh","2021","Instant replacement","166474.717"
"Bangladesh","2021","Zero migration","166669.736"
"Bangladesh","2021","Constant mortality","166261.509"
"Bangladesh","2021","No change","166360.025"
"Bangladesh","2021","Momentum","166681.385"
"Bangladesh","2020","Medium","164689.383"
"Bangladesh","2020","High","164689.383"
"Bangladesh","2020","Low","164689.383"
"Bangladesh","2020","Constant fertility","164689.383"
"Bangladesh","2020","Instant replacement","164689.383"
"Bangladesh","2020","Zero migration","164689.383"
"Bangladesh","2020","Constant mortality","164689.383"
"Bangladesh","2020","No change","164689.383"
"Bangladesh","2020","Momentum","164689.383"
"Barbados","2021","Medium","287.711"
"Barbados","2021","High","287.995"
"Barbados","2021","Low","287.392"
"Barbados","2021","Constant fertility","287.67"
"Barbados","2021","Instant replacement","288.244"
"Barbados","2021","Zero migration","287.776"
"Barbados","2021","Constant mortality","287.627"
"Barbados","2021","No change","287.604"
"Barbados","2021","Momentum","288.243"
"Barbados","2020","Medium","287.375"
"Barbados","2020","High","287.375"
"Barbados","2020","Low","287.375"
"Barbados","2020","Constant fertility","287.375"
"Barbados","2020","Instant replacement","287.375"
"Barbados","2020","Zero migration","287.375"
"Barbados","2020","Constant mortality","287.375"
"Barbados","2020","No change","287.375"
"Barbados","2020","Momentum","287.375"
"Belarus","2021","Medium","9442.862"
"Belarus","2021","High","9453.231"
"Belarus","2021","Low","9431.115"
"Belarus","2021","Constant fertility","9440.971"
"Belarus","2021","Instant replacement","9456.633"
"Belarus","2021","Zero migration","9439.138"
"Belarus","2021","Constant mortality","9438.305"
"Belarus","2021","No change","9437.085"
"Belarus","2021","Momentum","9451.379"
"Belarus","2020","Medium","9449.323"
"Belarus","2020","High","9449.323"
"Belarus","2020","Low","9449.323"
"Belarus","2020","Constant fertility","9449.323"
"Belarus","2020","Instant replacement","9449.323"
"Belarus","2020","Zero migration","9449.323"
"Belarus","2020","Constant mortality","9449.323"
"Belarus","2020","No change","9449.323"
"Belarus","2020","Momentum","9449.323"
"Belgium","2021","Medium","11632.326"
"Belgium","2021","High","11636.835"
"Belgium","2021","Low","11612.578"
"Belgium","2021","Constant fertility","11624.099"
"Belgium","2021","Instant replacement","11648.25"
"Belgium","2021","Zero migration","11600.552"
"Belgium","2021","Constant mortality","11620.277"
"Belgium","2021","No change","11619.64"
"Belgium","2021","Momentum","11628.007"
"Belgium","2020","Medium","11589.623"
"Belgium","2020","High","11589.623"
"Belgium","2020","Low","11589.623"
"Belgium","2020","Constant fertility","11589.623"
"Belgium","2020","Instant replacement","11589.623"
"Belgium","2020","Zero migration","11589.623"
"Belgium","2020","Constant mortality","11589.623"
"Belgium","2020","No change","11589.623"
"Belgium","2020","Momentum","11589.623"
"Belize","2021","Medium","404.914"
"Belize","2021","High","405.528"
"Belize","2021","Low","404.406"
"Belize","2021","Constant fertility","405.23"
"Belize","2021","Instant replacement","404.587"
"Belize","2021","Zero migration","403.811"
"Belize","2021","Constant mortality","404.914"
"Belize","2021","No change","405.176"
"Belize","2021","Momentum","403.779"
"Belize","2020","Medium","397.628"
"Belize","2020","High","397.628"
"Belize","2020","Low","397.628"
"Belize","2020","Constant fertility","397.628"
"Belize","2020","Instant replacement","397.628"
"Belize","2020","Zero migration","397.628"
"Belize","2020","Constant mortality","397.628"
"Belize","2020","No change","397.628"
"Belize","2020","Momentum","397.628"
"Benin","2021","Medium","12451.04"
"Benin","2021","High","12463.656"
"Benin","2021","Low","12437.174"
"Benin","2021","Constant fertility","12467.034"
"Benin","2021","Instant replacement","12318.321"
"Benin","2021","Zero migration","12452.519"
"Benin","2021","Constant mortality","12444.958"
"Benin","2021","No change","12461.575"
"Benin","2021","Momentum","12317.826"
"Benin","2020","Medium","12123.2"
"Benin","2020","High","12123.2"
"Benin","2020","Low","12123.2"
"Benin","2020","Constant fertility","12123.2"
"Benin","2020","Instant replacement","12123.2"
"Benin","2020","Zero migration","12123.2"
"Benin","2020","Constant mortality","12123.2"
"Benin","2020","No change","12123.2"
"Benin","2020","Momentum","12123.2"
"Bermuda","2021","Medium","62.09"
"Bermuda","2021","High","62.198"
"Bermuda","2021","Low","62.085"
"Bermuda","2021","Constant fertility","62.153"
"Bermuda","2021","Instant replacement","62.251"
"Bermuda","2021","Zero migration","62.143"
"Bermuda","2021","Constant mortality","62.125"
"Bermuda","2021","No change","62.135"
"Bermuda","2021","Momentum","62.23"
"Bermuda","2020","Medium","62.278"
"Bermuda","2020","High","62.278"
"Bermuda","2020","Low","62.278"
"Bermuda","2020","Constant fertility","62.278"
"Bermuda","2020","Instant replacement","62.278"
"Bermuda","2020","Zero migration","62.278"
"Bermuda","2020","Constant mortality","62.278"
"Bermuda","2020","No change","62.278"
"Bermuda","2020","Momentum","62.278"
"Bhutan","2021","Medium","779.898"
"Bhutan","2021","High","780.932"
"Bhutan","2021","Low","778.821"
"Bhutan","2021","Constant fertility","780.425"
"Bhutan","2021","Instant replacement","780.974"
"Bhutan","2021","Zero migration","779.601"
"Bhutan","2021","Constant mortality","779.626"
"Bhutan","2021","No change","780.163"
"Bhutan","2021","Momentum","780.683"
"Bhutan","2020","Medium","771.608"
"Bhutan","2020","High","771.608"
"Bhutan","2020","Low","771.608"
"Bhutan","2020","Constant fertility","771.608"
"Bhutan","2020","Instant replacement","771.608"
"Bhutan","2020","Zero migration","771.608"
"Bhutan","2020","Constant mortality","771.608"
"Bhutan","2020","No change","771.608"
"Bhutan","2020","Momentum","771.608"
"Bolivia (Plurinational State of)","2021","Medium","11832.94"
"Bolivia (Plurinational State of)","2021","High","11847.446"
"Bolivia (Plurinational State of)","2021","Low","11818.817"
"Bolivia (Plurinational State of)","2021","Constant fertility","11842.686"
"Bolivia (Plurinational State of)","2021","Instant replacement","11807.868"
"Bolivia (Plurinational State of)","2021","Zero migration","11841.482"
"Bolivia (Plurinational State of)","2021","Constant mortality","11829.94"
"Bolivia (Plurinational State of)","2021","No change","11839.424"
"Bolivia (Plurinational State of)","2021","Momentum","11811.797"
"Bolivia (Plurinational State of)","2020","Medium","11673.021"
"Bolivia (Plurinational State of)","2020","High","11673.021"
"Bolivia (Plurinational State of)","2020","Low","11673.021"
"Bolivia (Plurinational State of)","2020","Constant fertility","11673.021"
"Bolivia (Plurinational State of)","2020","Instant replacement","11673.021"
"Bolivia (Plurinational State of)","2020","Zero migration","11673.021"
"Bolivia (Plurinational State of)","2020","Constant mortality","11673.021"
"Bolivia (Plurinational State of)","2020","No change","11673.021"
"Bolivia (Plurinational State of)","2020","Momentum","11673.021"
"Bonaire, Sint Eustatius and Saba","2021","Medium","26.442"
"Bonaire, Sint Eustatius and Saba","2021","High","26.453"
"Bonaire, Sint Eustatius and Saba","2021","Low","26.403"
"Bonaire, Sint Eustatius and Saba","2021","Constant fertility","26.434"
"Bonaire, Sint Eustatius and Saba","2021","Instant replacement","26.47"
"Bonaire, Sint Eustatius and Saba","2021","Zero migration","26.328"
"Bonaire, Sint Eustatius and Saba","2021","Constant mortality","26.421"
"Bonaire, Sint Eustatius and Saba","2021","No change","26.426"
"Bonaire, Sint Eustatius and Saba","2021","Momentum","26.397"
"Bonaire, Sint Eustatius and Saba","2020","Medium","26.223"
"Bonaire, Sint Eustatius and Saba","2020","High","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Low","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Constant fertility","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Instant replacement","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Zero migration","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Constant mortality","26.223"
"Bonaire, Sint Eustatius and Saba","2020","No change","26.223"
"Bonaire, Sint Eustatius and Saba","2020","Momentum","26.223"
"Bosnia and Herzegovina","2021","Medium","3263.466"
"Bosnia and Herzegovina","2021","High","3271.978"
"Bosnia and Herzegovina","2021","Low","3265.273"
"Bosnia and Herzegovina","2021","Constant fertility","3269.231"
"Bosnia and Herzegovina","2021","Instant replacement","3274.438"
"Bosnia and Herzegovina","2021","Zero migration","3269.131"
"Bosnia and Herzegovina","2021","Constant mortality","3267.296"
"Bosnia and Herzegovina","2021","No change","3267.901"
"Bosnia and Herzegovina","2021","Momentum","3273.604"
"Bosnia and Herzegovina","2020","Medium","3280.819"
"Bosnia and Herzegovina","2020","High","3280.819"
"Bosnia and Herzegovina","2020","Low","3280.819"
"Bosnia and Herzegovina","2020","Constant fertility","3280.819"
"Bosnia and Herzegovina","2020","Instant replacement","3280.819"
"Bosnia and Herzegovina","2020","Zero migration","3280.819"
"Bosnia and Herzegovina","2020","Constant mortality","3280.819"
"Bosnia and Herzegovina","2020","No change","3280.819"
"Bosnia and Herzegovina","2020","Momentum","3280.819"
"Botswana","2021","Medium","2397.241"
"Botswana","2021","High","2399.025"
"Botswana","2021","Low","2392.805"
"Botswana","2021","Constant fertility","2398.464"
"Botswana","2021","Instant replacement","2389.758"
"Botswana","2021","Zero migration","2392.907"
"Botswana","2021","Constant mortality","2395.531"
"Botswana","2021","No change","2398.057"
"Botswana","2021","Momentum","2387.535"
"Botswana","2020","Medium","2351.627"
"Botswana","2020","High","2351.627"
"Botswana","2020","Low","2351.627"
"Botswana","2020","Constant fertility","2351.627"
"Botswana","2020","Instant replacement","2351.627"
"Botswana","2020","Zero migration","2351.627"
"Botswana","2020","Constant mortality","2351.627"
"Botswana","2020","No change","2351.627"
"Botswana","2020","Momentum","2351.627"
"Brazil","2021","Medium","213993.437"
"Brazil","2021","High","214258.536"
"Brazil","2021","Low","213712.689"
"Brazil","2021","Constant fertility","214058.906"
"Brazil","2021","Instant replacement","214442.887"
"Brazil","2021","Zero migration","213981.102"
"Brazil","2021","Constant mortality","213930.231"
"Brazil","2021","No change","214002.631"
"Brazil","2021","Momentum","214393.461"
"Brazil","2020","Medium","212559.417"
"Brazil","2020","High","212559.417"
"Brazil","2020","Low","212559.417"
"Brazil","2020","Constant fertility","212559.417"
"Brazil","2020","Instant replacement","212559.417"
"Brazil","2020","Zero migration","212559.417"
"Brazil","2020","Constant mortality","212559.417"
"Brazil","2020","No change","212559.417"
"Brazil","2020","Momentum","212559.417"
"British Virgin Islands","2021","Medium","30.421"
"British Virgin Islands","2021","High","30.448"
"British Virgin Islands","2021","Low","30.383"
"British Virgin Islands","2021","Constant fertility","30.408"
"British Virgin Islands","2021","Instant replacement","30.519"
"British Virgin Islands","2021","Zero migration","30.338"
"British Virgin Islands","2021","Constant mortality","30.407"
"British Virgin Islands","2021","No change","30.399"
"British Virgin Islands","2021","Momentum","30.472"
"British Virgin Islands","2020","Medium","30.231"
"British Virgin Islands","2020","High","30.231"
"British Virgin Islands","2020","Low","30.231"
"British Virgin Islands","2020","Constant fertility","30.231"
"British Virgin Islands","2020","Instant replacement","30.231"
"British Virgin Islands","2020","Zero migration","30.231"
"British Virgin Islands","2020","Constant mortality","30.231"
"British Virgin Islands","2020","No change","30.231"
"British Virgin Islands","2020","Momentum","30.231"
"Brunei Darussalam","2021","Medium","441.532"
"Brunei Darussalam","2021","High","442.086"
"Brunei Darussalam","2021","Low","440.964"
"Brunei Darussalam","2021","Constant fertility","441.724"
"Brunei Darussalam","2021","Instant replacement","442.262"
"Brunei Darussalam","2021","Zero migration","441.524"
"Brunei Darussalam","2021","Constant mortality","441.458"
"Brunei Darussalam","2021","No change","441.655"
"Brunei Darussalam","2021","Momentum","442.213"
"Brunei Darussalam","2020","Medium","437.479"
"Brunei Darussalam","2020","High","437.479"
"Brunei Darussalam","2020","Low","437.479"
"Brunei Darussalam","2020","Constant fertility","437.479"
"Brunei Darussalam","2020","Instant replacement","437.479"
"Brunei Darussalam","2020","Zero migration","437.479"
"Brunei Darussalam","2020","Constant mortality","437.479"
"Brunei Darussalam","2020","No change","437.479"
"Brunei Darussalam","2020","Momentum","437.479"
"Bulgaria","2021","Medium","6896.663"
"Bulgaria","2021","High","6903.299"
"Bulgaria","2021","Low","6890.306"
"Bulgaria","2021","Constant fertility","6895.468"
"Bulgaria","2021","Instant replacement","6908.24"
"Bulgaria","2021","Zero migration","6901.704"
"Bulgaria","2021","Constant mortality","6893.942"
"Bulgaria","2021","No change","6892.59"
"Bulgaria","2021","Momentum","6909.058"
"Bulgaria","2020","Medium","6948.445"
"Bulgaria","2020","High","6948.445"
"Bulgaria","2020","Low","6948.445"
"Bulgaria","2020","Constant fertility","6948.445"
"Bulgaria","2020","Instant replacement","6948.445"
"Bulgaria","2020","Zero migration","6948.445"
"Bulgaria","2020","Constant mortality","6948.445"
"Bulgaria","2020","No change","6948.445"
"Bulgaria","2020","Momentum","6948.445"
"Burkina Faso","2021","Medium","21497.096"
"Burkina Faso","2021","High","21517.951"
"Burkina Faso","2021","Low","21473.054"
"Burkina Faso","2021","Constant fertility","21529.579"
"Burkina Faso","2021","Instant replacement","21238.854"
"Burkina Faso","2021","Zero migration","21520.962"
"Burkina Faso","2021","Constant mortality","21482.707"
"Burkina Faso","2021","No change","21516.799"
"Burkina Faso","2021","Momentum","21251.445"
"Burkina Faso","2020","Medium","20903.273"
"Burkina Faso","2020","High","20903.273"
"Burkina Faso","2020","Low","20903.273"
"Burkina Faso","2020","Constant fertility","20903.273"
"Burkina Faso","2020","Instant replacement","20903.273"
"Burkina Faso","2020","Zero migration","20903.273"
"Burkina Faso","2020","Constant mortality","20903.273"
"Burkina Faso","2020","No change","20903.273"
"Burkina Faso","2020","Momentum","20903.273"
"Burundi","2021","Medium","12255.433"
"Burundi","2021","High","12268.621"
"Burundi","2021","Low","12242.858"
"Burundi","2021","Constant fertility","12275.447"
"Burundi","2021","Instant replacement","12097.139"
"Burundi","2021","Zero migration","12253.767"
"Burundi","2021","Constant mortality","12249.963"
